City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
446,Puerto Ayacucho,VE,82.85,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
451,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
453,Atar,MR,88.0,overcast clouds,20.5169,-13.0499,Oumou Elghoura
454,Houma,US,85.01,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
456,Bajil,YE,86.99,scattered clouds,15.0584,43.2851,فندق حضرموت
457,Santiago Del Estero,AR,75.94,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
459,Pafos,CY,83.98,clear sky,34.7667,32.4167,Elysium Hotel
461,Papara,BR,82.8,light rain,-3.9839,-38.7273,Bela vista Maranguape
465,Manoel Urbano,BR,79.36,light rain,-8.8389,-69.2597,Baixada Beira Rio
467,Malihabad,IN,76.91,clear sky,26.9167,80.7167,Maharaja nursery
474,Bulalacao,PH,78.6,broken clouds,12.3254,121.3435,By The Sea Hotels
475,Akyab,MM,80.8,clear sky,20.15,92.9,Hotel Memory
477,Careiro Da Varzea,BR,79.43,moderate rain,-3.2003,-59.8119,POUSADA DA ALDENORA
482,Bembereke,BJ,85.62,broken clouds,10.2283,2.6634,Hotel Bio Guera
483,Wahiawa,US,80.92,overcast clouds,21.5028,-158.0236,The Inn At Schofield
489,Wajid,SO,79.2,scattered clouds,3.8093,43.2471,xamdihotelresturant114
490,Bilma,NE,84.24,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
493,Puerto Madero,MX,89.8,few clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
494,Buchanan,LR,78.85,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
496,Sibolga,ID,77.56,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
498,Safaga,EG,83.3,broken clouds,26.7292,33.9365,Lamar Resort Abu Soma
505,San Pedro,PH,80.35,scattered clouds,14.35,121.0167,Esquivel's Garden And Resort
510,San Juan Bautista,PE,79.88,clear sky,-14.0108,-75.7358,Hotel Las Dunas
512,Tarakan,ID,78.73,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
514,San Matias,BO,85.39,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
516,Bhikhi,IN,82.62,clear sky,30.0667,75.5333,Sidhu’s House
518,Porto Walter,BR,83.26,broken clouds,-8.2686,-72.7439,Secretaria de saúde
519,Buin,CL,75.52,few clouds,-33.7333,-70.75,Paihuen
523,Paka,MY,76.93,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
524,Yarada,IN,84.52,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
530,Najran,SA,75.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
531,Wamba,NG,78.46,light rain,8.9333,8.6,Roma Zee Guest House Annex
535,Fare,PF,81.46,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
542,Buritis,BR,79.27,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
548,Pemangkat,ID,78.33,light rain,1.1667,108.9667,Ramah Kost KITA
549,Porto Novo,BJ,84.02,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
557,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
559,Nilo,CO,81.88,overcast clouds,4.306,-74.6208,SanRin Hotel
561,Catamarca,AR,75.78,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
563,Unai,BR,76.48,broken clouds,-16.3575,-46.9061,Hotel Regente
568,Biak,ID,75.33,broken clouds,-0.9131,122.8766,Penginapan Kim
571,Islampur,IN,76.23,clear sky,26.2667,88.2,Circuit House
572,Port Hedland,AU,77.05,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
573,Pueblo,US,77.76,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
574,Pyinmana,MM,81.55,broken clouds,19.7333,96.2167,Anh Mai Daung
589,Manta,EC,85.78,scattered clouds,-0.95,-80.7333,Balandra Hotel
