City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
111,Airai,TL,-8.9266,125.4092,59.43,88,90,2.24,overcast clouds
112,Pangoa,PE,-12.1167,-73.0,79.02,65,53,2.82,broken clouds
113,Anloga,GH,5.7947,0.8973,82.76,81,97,16.31,moderate rain
114,Srivardhan,IN,18.0333,73.0167,79.45,72,0,1.66,light rain
115,Qaanaaq,GL,77.484,-69.3632,-13.29,79,2,1.83,clear sky
116,Nemuro,JP,43.3236,145.575,39.34,85,39,6.64,scattered clouds
117,Evora,PT,38.5667,-7.9,56.98,80,100,8.25,overcast clouds
118,Puerto Ayora,EC,-0.7393,-90.3518,78.76,88,72,9.95,light rain
119,Tongliao,CN,43.6125,122.2653,41.65,61,2,6.69,clear sky
120,Mosetse,BW,-20.75,26.65,62.42,88,69,13.18,broken clouds
121,Great Yarmouth,GB,52.6083,1.7305,50.41,73,73,12.12,broken clouds
122,Waqqas,JO,32.5427,35.6053,78.78,16,57,8.9,broken clouds
123,Sorland,NO,67.667,12.6934,42.67,84,100,16.37,overcast clouds
124,Lebu,CL,-37.6167,-73.65,57.31,79,100,10.56,overcast clouds
125,Amuntai,ID,-2.4177,115.2494,74.3,93,100,2.04,overcast clouds
126,Aqtobe,KZ,50.2797,57.2072,42.89,81,0,0.0,clear sky
127,Nome,US,64.5011,-165.4064,30.27,86,100,18.41,light snow
128,Karasjok,NO,69.4719,25.5112,37.17,96,100,4.14,overcast clouds
129,Linqiong,CN,30.4159,103.4609,54.14,75,100,4.72,overcast clouds
130,San Cristobal,VE,7.7669,-72.225,73.58,84,100,4.34,overcast clouds
131,Morondava,MG,-20.2833,44.2833,81.61,83,1,6.15,clear sky
132,Russellville,US,35.2784,-93.1338,51.98,69,100,3.44,overcast clouds
133,Bambous Virieux,MU,-20.3428,57.7575,76.21,87,35,13.76,moderate rain
134,Luderitz,NA,-26.6481,15.1594,68.31,51,0,8.95,clear sky
135,Senigallia,IT,43.7093,13.2167,53.94,61,1,3.0,clear sky
136,Vardo,NO,70.3705,31.1107,35.58,93,75,11.5,light intensity drizzle
137,Udachnyy,RU,66.4167,112.4,34.45,100,100,10.74,light snow
138,Guerrero,MX,17.6667,-100.0,95.9,19,56,2.17,broken clouds
139,Ucluelet,CA,48.9329,-125.5528,50.09,69,100,3.0,overcast clouds
140,Charleston,US,32.7766,-79.9309,74.21,76,75,14.97,thunderstorm
141,Kahului,US,20.8947,-156.47,82.42,67,40,26.46,scattered clouds
142,Osoyoos,CA,49.0331,-119.4524,53.44,31,4,7.54,clear sky
143,Henties Bay,NA,-22.116,14.2845,62.44,77,1,6.91,clear sky
144,Trat,TH,12.5,102.5,80.91,88,100,1.86,overcast clouds
145,Rio Gallegos,AR,-51.6226,-69.2181,59.05,51,0,11.5,clear sky
146,Manicore,BR,-5.8092,-61.3003,78.76,91,97,1.52,overcast clouds
147,Makakilo City,US,21.3469,-158.0858,79.12,58,100,16.11,overcast clouds
148,Saint George,US,37.1041,-113.5841,82.8,14,0,3.44,clear sky
149,Misratah,LY,32.3754,15.0925,61.83,74,0,12.57,clear sky
150,Irmo,US,34.086,-81.1832,82.78,46,75,10.36,broken clouds
151,Bay Roberts,CA,47.5999,-53.2648,44.65,96,100,10.0,overcast clouds
152,Djambala,CG,-2.5447,14.7533,72.1,86,100,1.95,light rain
153,Abeche,TD,13.8292,20.8324,90.88,29,92,5.79,overcast clouds
154,Beohari,IN,24.05,81.3833,83.93,15,1,1.83,clear sky
155,Okato,NZ,-39.2,173.8833,54.68,59,100,7.85,overcast clouds
156,Asau,RO,46.4333,26.4,36.28,81,29,5.32,scattered clouds
157,Chuy,UY,-33.6971,-53.4616,64.83,68,100,8.23,overcast clouds
158,Mar Del Plata,AR,-38.0023,-57.5575,63.88,86,0,11.99,moderate rain
159,Acurenam,GQ,1.0322,10.6488,70.14,99,100,2.77,light rain
160,Nanyang,CN,32.9947,112.5328,48.96,75,100,7.09,overcast clouds
161,Boende,CD,-0.2167,20.8667,75.0,88,79,3.2,broken clouds
